col_1,col_2
1/1/2020,0.112304
1/2/2020,0.113038
1/3/2020,0.112724
1/4/2020,0.112724
1/5/2020,0.112724
1/6/2020,0.112094
1/7/2020,0.112731
1/8/2020,0.111783
1/9/2020,0.113169
1/10/2020,0.112884
1/11/2020,0.112884
1/12/2020,0.112884
1/13/2020,0.114676
1/14/2020,0.112547
1/15/2020,0.111987
1/16/2020,0.11212
1/17/2020,0.111399
1/18/2020,0.111399
1/19/2020,0.111399
1/20/2020,0.111275
1/21/2020,0.111356
1/22/2020,0.11139
1/23/2020,0.111345
1/24/2020,0.111861
1/25/2020,0.111861
1/26/2020,0.111861
1/27/2020,0.11149
1/28/2020,0.110082
1/29/2020,0.111292
1/30/2020,0.110757
1/31/2020,0.109627
2/1/2020,0.109627
2/2/2020,0.109627
2/3/2020,0.108531
2/4/2020,0.110089
2/5/2020,0.111057
2/6/2020,0.110791
2/7/2020,0.109976
2/8/2020,0.109976
2/9/2020,0.109976
2/10/2020,0.10909
2/11/2020,0.108782
2/12/2020,0.109811
2/13/2020,0.109936
2/14/2020,0.109519
2/15/2020,0.109519
2/16/2020,0.109519
2/17/2020,0.109585
2/18/2020,0.109805
2/19/2020,0.109379
2/20/2020,0.109985
2/21/2020,0.109301
2/22/2020,0.109301
2/23/2020,0.109301
2/24/2020,0.109524
2/25/2020,0.107566
2/26/2020,0.10728
2/27/2020,0.107149
2/28/2020,0.105545
2/29/2020,0.105545
3/1/2020,0.105545
3/2/2020,0.104332
3/3/2020,0.104738
3/4/2020,0.104977
3/5/2020,0.104323
3/6/2020,0.102548
3/7/2020,0.102548
3/8/2020,0.102548
3/9/2020,0.095486
3/10/2020,0.092867
3/11/2020,0.097255
3/12/2020,0.094804
3/13/2020,0.093873
3/14/2020,0.093873
3/15/2020,0.093873
3/16/2020,0.095883
3/17/2020,0.093697
3/18/2020,0.093117
3/19/2020,0.086962
3/20/2020,0.089637
3/21/2020,0.089637
3/22/2020,0.089637
3/23/2020,0.089062
3/24/2020,0.089
3/25/2020,0.090184
3/26/2020,0.090652
3/27/2020,0.091294
3/28/2020,0.091294
3/29/2020,0.091294
3/30/2020,0.090315
3/31/2020,0.089153
4/1/2020,0.090109
4/2/2020,0.089944
4/3/2020,0.091777
4/4/2020,0.091777
4/5/2020,0.091777
4/6/2020,0.092186
4/7/2020,0.09316
4/8/2020,0.093415
4/9/2020,0.09396
4/10/2020,0.094703
4/11/2020,0.094703
4/12/2020,0.094703
4/13/2020,0.095321
4/14/2020,0.095694
4/15/2020,0.096368
4/16/2020,0.094221
4/17/2020,0.095957
4/18/2020,0.095957
4/19/2020,0.095957
4/20/2020,0.095426
4/21/2020,0.093587
4/22/2020,0.091939
4/23/2020,0.093349
4/24/2020,0.094494
4/25/2020,0.094494
4/26/2020,0.094494
4/27/2020,0.094876
4/28/2020,0.095073
4/29/2020,0.095402
4/30/2020,0.096663
5/1/2020,0.094954
5/2/2020,0.093689
5/3/2020,0.093688
5/4/2020,0.093578
5/5/2020,0.094531
5/6/2020,0.095692
5/7/2020,0.095333
5/8/2020,0.095541
5/9/2020,0.096379
5/10/2020,0.096379
5/11/2020,0.096324
5/12/2020,0.096335
5/13/2020,0.096565
5/14/2020,0.09602
5/15/2020,0.096457
5/16/2020,0.09649
5/17/2020,0.09649
5/18/2020,0.096763
5/19/2020,0.09787
5/20/2020,0.098051
5/21/2020,0.099641
5/22/2020,0.099755
5/23/2020,0.099542
5/24/2020,0.099542
5/25/2020,0.099907
5/26/2020,0.099784
5/27/2020,0.101035
